,visitas_mes,compras_hist,clicks_email_mes,antiguedad_meses,churn
0,11,1,3,1,0
1,9,3,4,14,0
2,6,5,5,1,0
3,5,2,2,21,0
4,8,1,2,23,0
5,12,3,1,9,0
6,12,1,2,24,0
7,10,2,5,1,0
8,5,0,3,21,0
9,9,3,2,22,0
10,11,1,1,22,0
11,8,1,5,4,0
12,8,1,2,1,0
13,11,1,2,19,0
14,6,0,1,10,0
15,14,3,1,15,0
16,14,0,0,20,0
17,10,0,3,4,1
18,9,4,3,20,0
19,11,3,1,14,0
20,14,3,2,5,0
21,4,1,4,15,0
22,12,1,2,15,0
23,10,3,1,16,0
24,8,0,3,16,0
25,10,3,6,4,0
26,8,3,2,9,0
27,11,2,0,1,0
28,14,1,3,5,0
29,12,4,1,9,0
30,8,2,1,20,0
31,17,3,1,5,0
32,6,2,5,4,0
33,11,3,0,16,0
34,8,0,3,2,0
35,9,5,1,16,0
36,9,3,0,18,0
37,14,2,2,2,0
38,4,4,0,16,0
39,10,1,3,1,0
40,15,2,1,16,0
41,9,1,1,3,0
42,9,2,1,15,0
43,8,0,4,11,1
44,3,1,1,10,0
45,10,2,2,17,0
46,7,2,1,4,0
47,12,2,2,17,0
48,7,3,0,4,0
49,8,1,2,19,0
50,8,2,2,1,0
51,11,1,2,14,0
52,12,3,1,24,0
53,14,1,2,11,0
54,12,1,0,7,0
55,13,2,4,17,0
56,5,1,2,4,0
57,5,4,5,10,0
58,3,1,2,17,0
59,15,1,3,4,0
60,12,1,2,19,0
61,13,1,3,18,0
62,9,2,1,17,0
63,5,3,1,6,0
64,8,3,2,7,0
65,6,4,1,6,0
66,5,3,2,12,0
67,14,0,3,9,0
68,8,1,2,18,0
69,6,1,2,2,0
70,14,1,1,17,0
71,12,3,2,21,0
72,13,3,1,1,0
73,15,3,2,23,0
74,9,2,2,9,0
75,3,2,1,6,1
76,9,3,3,2,1
77,8,1,0,6,1
78,6,3,2,9,0
79,13,2,3,3,0
80,5,5,2,16,0
